ds,y
2003-04-03,325.35377358490564
2003-04-04,324.90983606557376
2003-04-05,333.752427184466
2003-04-06,346.21875
2003-04-07,332.17543859649123
2003-04-08,338.12931034482756
2003-04-09,324.8695652173913
2003-04-10,326.3464912280702
2003-04-11,344.72222222222223
2003-04-12,328.5548780487805
2003-04-13,324.18518518518516
2003-04-14,322.84313725490193
2003-04-15,358.3863636363636
2003-04-16,378.7056074766355
2003-04-17,401.30841121495325
2003-04-18,364.5882352941176
2003-04-19,404.35051546391753
2003-04-20,405.5
2003-04-21,396.283185840708
2003-04-22,430.9117647058824
2003-04-23,434.6637168141593
2003-04-24,413.824
2003-04-25,446.0521739130435
2003-04-26,427.16
2003-04-27,423.75
2003-04-28,419.4625
2003-04-29,410.8807339449541
2003-04-30,410.4108527131783
2003-05-01,402.2738095238095
2003-05-02,408.4765625
2003-05-03,398.96581196581195
2003-05-04,380.1034482758621
2003-05-05,401.3208333333333
2003-05-06,414.376
2003-05-07,404.55223880597015
2003-05-08,375.4921875
2003-05-09,392.69747899159665
2003-05-10,373.1860465116279
2003-05-11,390.06666666666666
2003-05-12,383.6016260162602
2003-05-13,398.04347826086956
2003-05-14,393.38990825688074
2003-05-15,360.9166666666667
2003-05-16,385.08252427184465
2003-05-17,382.029702970297
2003-05-18,397.4375
2003-05-19,377.2413793103448
2003-05-20,382.73387096774195
2003-05-21,388.036036036036
2003-05-22,387.95454545454544
2003-05-23,401.5083333333333
2003-05-24,397.1570247933884
2003-05-25,403.75
2003-05-26,380.6062992125984
2003-05-27,395.05357142857144
2003-05-28,383.31716417910445
2003-05-29,388.4485294117647
2003-05-30,411.79824561403507
2003-05-31,404.48936170212767
2003-06-01,404.4
2003-06-02,404.372
2003-06-03,401.2212389380531
2003-06-04,388.97457627118644
2003-06-05,426.9263565891473
2003-06-06,415.2396694214876
2003-06-07,406.6347826086957
2003-06-08,538.5185185185185
2003-06-09,417.9491525423729
2003-06-10,431.6386554621849
2003-06-11,428.7950819672131
2003-06-12,432.37301587301585
2003-06-13,425.5846153846154
2003-06-14,422.718085106383
2003-06-15,442.962962962963
2003-06-16,445.8
2003-06-17,457.85714285714283
2003-06-18,450.98473282442745
2003-06-19,443.608
2003-06-20,463.808
2003-06-21,455.75555555555553
2003-06-22,443.84375
2003-06-23,456.5530303030303
2003-06-24,487.6363636363636
2003-06-25,463.965034965035
2003-06-26,472.96527777777777
2003-06-27,493.64028776978415
2003-06-28,487.599173553719
2003-06-29,454.81451612903226
2003-06-30,489.5
2003-07-01,487.8050847457627
2003-07-02,486.92910447761193
2003-07-03,486.9640287769784
2003-07-04,517.1870503597122
2003-07-05,513.1386861313869
2003-07-06,435.48571428571427
2003-07-07,507.1063829787234
2003-07-08,541.0296296296297
2003-07-09,530.6758620689656
2003-07-10,531.9172932330827
2003-07-11,546.5869565217391
2003-07-12,547.129213483146
2003-07-13,490.875
2003-07-14,545.4328358208955
2003-07-15,531.5340136054422
2003-07-16,553.1572327044025
2003-07-17,531.577922077922
2003-07-18,551.0649350649351
2003-07-19,563.75
2003-07-20,500.47058823529414
2003-07-21,551.3356164383562
2003-07-22,543.0340136054422
2003-07-23,556.3856209150326
2003-07-24,544.0705128205128
2003-07-25,566.5037037037036
2003-07-26,525.3652173913043
2003-07-27,513.5666666666667
2003-07-28,553.6861313868613
2003-07-29,556.6814814814815
2003-07-30,555.7483443708609
2003-07-31,537.3823529411765
2003-08-01,569.903448275862
2003-08-02,566.0948905109489
2003-08-03,499.2258064516129
2003-08-04,560.3513513513514
2003-08-05,572.7638888888889
2003-08-06,562.1935483870968
2003-08-07,554.622641509434
2003-08-08,572.3809523809524
2003-08-09,554.070707070707
2003-08-10,538.421052631579
2003-08-11,576.0217391304348
2003-08-12,594.639175257732
2003-08-13,567.1
2003-08-14,568.6408450704225
2003-08-15,528.5
2003-08-16,606.1376811594203
2003-08-17,566.9705882352941
2003-08-18,587.841726618705
2003-08-19,538.3706896551724
2003-08-20,575.6324786324786
2003-08-21,585.3642857142858
2003-08-22,574.8811188811189
2003-08-23,580.2605042016806
2003-08-24,576.03125
2003-08-25,597.5337837837837
2003-08-26,600.3511450381679
2003-08-27,590.438596491228
2003-08-28,583.2608695652174
2003-08-29,597.7426470588235
2003-08-30,610.7916666666666
2003-08-31,565.7037037037037
2003-09-01,606.3233082706766
2003-09-02,601.7794117647059
2003-09-03,602.3322147651006
2003-09-04,600.1214285714286
