ds,y,rainfall,transport_lag_3
2017-11-10,2839.662878787879,0.0,63.68999862670898
2017-11-11,2752.5622222222223,0.0,63.4900016784668
2017-11-12,2772.3203883495144,0.0,63.93000030517578
2017-11-13,2845.721818181818,0.0,63.52000045776367
2017-11-14,2814.6429872495446,0.0,63.52000045776367
2017-11-15,2882.5740402193783,0.0,63.52000045776367
2017-11-16,2900.9368231046933,0.0,63.15999984741211
2017-11-17,2953.297794117647,0.0,62.209999084472656
2017-11-18,2900.8274428274426,0.0,61.869998931884766
2017-11-19,2869.990099009901,0.0,61.36000061035156
2017-11-20,3053.974121996303,0.0,62.720001220703125
2017-11-21,2982.8292220113854,0.0,62.720001220703125
2017-11-22,3168.5731225296445,0.0,62.720001220703125
2017-11-23,3208.485596707819,0.0,62.220001220703125
2017-11-24,3311.2141230068337,0.0,62.56999969482422
2017-11-25,3390.9953810623556,0.0,63.31999969482422
2017-11-26,3322.5627530364372,0.0,63.31999969482422
2017-11-27,3452.765625,0.0,63.86000061035156
2017-11-28,3452.0175438596493,0.0,63.86000061035156
2017-11-29,3539.161592505855,0.0,63.86000061035156
2017-11-30,3442.8875598086124,0.0,63.84000015258789
2017-12-01,3436.9312977099235,0.0,63.61000061035156
2017-12-02,3282.3517441860463,0.0,63.11000061035156
2017-12-03,3280.372549019608,0.0,63.56999969482422
2017-12-04,3320.065439672802,0.0,63.4900016784668
2017-12-05,3304.5885947046845,0.0,63.4900016784668
2017-12-06,3336.207509881423,0.0,63.4900016784668
2017-12-07,3306.8371134020617,0.0,62.45000076293945
2017-12-08,3311.3805668016194,0.0,62.86000061035156
2017-12-09,3228.345205479452,0.0,61.220001220703125
2017-12-10,3220.8901960784315,0.0,62.20000076293945
2017-12-11,3315.8103837471785,0.0,63.400001525878906
2017-12-12,3362.910386965377,0.0,63.400001525878906
2017-12-13,3377.7272727272725,0.0,63.400001525878906
2017-12-14,3327.0666666666666,0.0,64.69000244140625
2017-12-15,3375.7262931034484,0.0,63.34000015258789
2017-12-16,3310.552966101695,0.0,62.43999862670898
2017-12-17,3140.1870503597124,0.0,63.310001373291016
2017-12-18,3344.0041928721175,0.0,63.22999954223633
2017-12-19,3237.3474747474747,0.0,63.22999954223633
2017-12-20,3251.7581573896355,0.0,63.22999954223633
2017-12-21,3199.20703125,0.0,63.40999984741211
2017-12-22,3246.9158316633266,0.0,63.79999923706055
2017-12-23,3188.5452488687783,0.0,64.55999755859375
2017-12-24,3140.8582089552237,0.0,64.9000015258789
2017-12-25,2980.2582417582416,0.0,65.25
2017-12-26,3125.3024193548385,0.0,65.25
2017-12-27,3209.7260536398467,0.0,65.25
2017-12-28,3163.1614173228345,0.0,65.25
2017-12-29,3149.0495867768595,0.0,67.0199966430664
2017-12-30,3107.7543103448274,0.0,66.44000244140625
2017-12-31,3088.7860262008735,0.0,66.72000122070312
2018-01-01,3220.687140115163,0.0,66.5999984741211
2018-01-02,3148.8086303939963,0.0,66.5999984741211
2018-01-03,3349.091836734694,0.0,66.5999984741211
2018-01-04,3380.301056338028,0.0,66.5999984741211
2018-01-05,3398.267985611511,0.0,66.56999969482422
2018-01-06,3364.823639774859,0.0,67.83999633789062
2018-01-07,3178.0251572327043,0.0,68.06999969482422
2018-01-08,3387.604278074866,0.0,67.62000274658203
2018-01-09,3437.733102253033,0.0,67.62000274658203
2018-01-10,3435.0278260869563,0.0,67.62000274658203
2018-01-11,3305.227504244482,0.0,67.77999877929688
2018-01-12,3380.1591320072334,0.0,68.81999969482422
2018-01-13,3232.248888888889,0.0,69.19999694824219
2018-01-14,3152.8412162162163,0.0,69.26000213623047
2018-01-15,3295.025291828794,0.0,69.87000274658203
2018-01-16,3345.540780141844,0.0,69.87000274658203
2018-01-17,3249.2976588628762,0.0,69.87000274658203
2018-01-18,3275.113559322034,0.0,69.87000274658203
2018-01-19,3273.9197860962568,0.0,69.1500015258789
2018-01-20,3189.833641404806,0.0,69.37999725341797
2018-01-21,3067.049689440994,0.0,69.30999755859375
2018-01-22,3110.777996070727,0.0,68.61000061035156
2018-01-23,3092.0828924162256,0.0,68.61000061035156
2018-01-24,3094.521978021978,0.0,68.61000061035156
2018-01-25,3123.6914700544467,0.0,69.02999877929688
2018-01-26,3100.608414239482,0.0,69.95999908447266
2018-01-27,3044.5372848948373,0.0,70.52999877929688
2018-01-28,2899.2019543973943,0.0,70.41999816894531
2018-01-29,2928.7636363636366,0.0,70.5199966430664
2018-01-30,2964.709323583181,0.0,70.5199966430664
2018-01-31,2812.9041666666667,0.0,70.5199966430664
2018-02-01,2724.5523156089193,0.0,69.45999908447266
2018-02-02,2706.6535714285715,0.0,69.0199966430664
2018-02-03,2653.9117647058824,0.0,69.05000305175781
2018-02-04,2542.7981072555203,0.0,69.08000183105469
2018-02-05,2606.622866894198,0.0,68.58000183105469
2018-02-06,2599.3745644599303,0.0,68.58000183105469
2018-02-07,2581.125874125874,0.0,68.58000183105469
2018-02-08,2517.715488215488,0.0,67.62000274658203
2018-02-09,2465.129203539823,0.0,66.86000061035156
2018-02-10,2353.4276169265036,0.0,65.51000213623047
2018-02-11,2417.05625,0.0,64.80999755859375
2018-02-12,2380.9962825278812,0.0,62.790000915527344
2018-02-13,2438.509677419355,0.0,62.790000915527344
2018-02-14,2435.4770459081838,0.0,62.790000915527344
2018-02-15,2361.5741811175335,0.0,62.59000015258789
2018-02-16,2380.9331046312177,0.0,62.720001220703125
2018-02-17,2341.6861313868612,0.0,64.36000061035156
2018-02-18,2284.382530120482,0.0,64.33000183105469
2018-02-19,2308.322241681261,0.0,64.83999633789062
2018-02-20,2263.54181184669,0.0,64.83999633789062
2018-02-21,2272.5138211382114,0.0,64.83999633789062
2018-02-22,2220.436860068259,0.0,64.83999633789062
2018-02-23,2192.1049069373944,0.0,65.25
2018-02-24,2145.8882575757575,0.0,65.41999816894531
2018-02-25,2128.488599348534,0.0,66.38999938964844
2018-02-26,2068.569282136895,0.0,67.30999755859375
2018-02-27,2064.8006993006993,0.0,67.30999755859375
2018-02-28,2048.8295880149813,0.0,67.30999755859375
2018-03-01,1975.3918629550321,0.0,67.5
2018-03-02,2077.885521885522,0.0,66.62999725341797
2018-03-03,1903.8101265822784,0.0,65.77999877929688
2018-03-04,1902.340625,0.0,65.70999908447266
